column,label,value
0,0,sad apl friend
1,0,miss new moon trailer
2,1,omg already
3,0,omega soo gunn cry dentist since suppose get crown put min
4,0,think mi bf cheat tt
5,0,worry much
6,1,chill !!
7,0,sunny work tomorrow tv tonight :-|
8,1,hand uniform today miss already
9,1,hmm wonder number @-)
10,0,must think positive
11,1,thank hater face day
12,0,weekend suck far
13,0,jb int show australia
14,0,ok thats win
15,0,way feel right ;-
16,0,aware man completely useless rt funny twitter ://
17,1,feel strangely fine gonna go listen semiotic celebrate
18,0,huge roll thunder scary
19,0,cut beard grow well year gonna start happy meantime
20,0,sad iran
21,0,woman woman
22,1,one see cause one else follow pretty awesome
23,0,sad level write massive blow tweet space comp shut lose lay fetal position ;-
24,0,head hospital pull golf tourney rd place think rip something yeah !!
25,0,bore whats wrong please tell ): ?? :-/
26,0,bother wish could spend rest life sit go gig seriously
27,0,feel like shit right really want sleep noo hour dance art assignment finish
28,1,goodbye exam hello alcohol tonight
29,0,didn realize deep gee give girl warn least
30,0,hate athlete appear tear acl live television
31,0,miss guy think wear skinny jean cute sweater heel really sure today
32,0,meet meat -- ://
33,0,horse move saturday morning
34,0,sit need work day week
35,0,really dont like room bore sick wardrobe cant wait till walk one yay
36,0,sox floyd great believer need scold
37,0,time like million
38,1,unload picture friendly
39,0,type span download virus msn fuck forever :\ :'(
40,0,amp amp fight wait babe ;&
41,1,write something last week get call someone new york office (:!- ://
42,0,enough say
43,1,need even say well go anyways chris cornell chicago tonight
44,1,health class joke !)
45,1,go show tonight
46,0,really make sad look muslim reality
47,0,
48,0,entertainment someone complain properly experimental say experiment melody
49,0,another year maker neither magic fun
50,0,baddest day ever
51,1,bathroom clean enjoyable task
52,1,boom boom pow
53,0,proud
54,0,congrats hello though
55,0,david must hospitalize five day end july palatine tonsil probably never see katie concert
56,0,friend leave cause stupid love ://
57,1,go give ur mom hug right ://
58,1,go see harry sunday happiness
59,0,hand quilt
60,0,hate ley ar =(
61,1,
62,1,bend backwards
63,1,get work soon miss cody boo haven see forever
64,1,hate allergy get hair cut tomorrow take public poll
65,0,love guy much hurt ://
66,0,miss earl
67,0,miss new jersey
68,0,miss first hour stych last night find online
69,0,need fix
70,0,never think become second choice
71,0,think may friendly lol well
72,0,think manuel basil plant day live
73,0,wanna home church wonder
74,0,wanna make pizza
75,0,want gb harddrive inch tv new guitar anyonefeeling generous ?=
76,0,want hug
77,0,want mile tour australia
78,0,want sleep morning mean kid possible stick head wish could fly away like squirrel
79,0,slow get six
80,0,send sunshine northern ireland go swim today
81,0,wish could go beach would great see amp :'(
82,0,would much happy wall bedroom paint white
83,0,ink wat trust sorry da pain cause nobody ma take dis time straighten luv
84,0,find intercept slope bang head wall math brain head come save
85,1,really go bed
86,0,sick cough cough
87,0,cab head airport go home christy
88,0,case feel emo camp feel wee bite bring human right watch world report hope work
89,1,jin twitter
90,0,jonas day almost
91,0,jus get hom fr tda funeral sad cry much time much love grandpa never get say last goodbye !&
92,1,gonna smile cut sure could want
93,1,get home get see friend zara haven see since graduate make happy
94,0,long night ever ugh ://
95,0,mi momacita win let go bf ball game gdr
96,0,mom say get new phone immediately mobile pay
97,0,new car steal want go pose church
98,0,hang girl day moro hope
99,0,movie time sunday rat plan tomorrow guess mean work two presentation
100,0,pavel tonight tigersfan
101,0,cool night
102,1,oh thank
103,1,please
104,0,probably gun get soon since one talkin
105,0,really want sabina pull win amp lose like
106,0,rip david wedding
107,1,rise good back xmas special yay damn half year away
108,0,sannesias aww neighbor need watch mean girl :] ://
109,0,whats status next weekend
110,0,sorry ex overdose daily dose haterade
111,0,thank definition throw-in editor review entry decide publish
112,1,thank need help get
113,1,
114,1,go heather sequel winona ever good fuck
115,0,tell drink rx give porter amp ob stout bring home neighbor sad
116,1,trade sweet buy new bath suit weave !!
117,1,true highly subjective sombre actually favorite character book get rishabh ://
118,0,guy know
119,0,much
120,0,watch get sad miss hub :-'(& ;& ;& ;& ;& ;& ;& ;&
121,0,stand pour rain sit top world summer suck -- -- --
122,0,go get dog vet stitch ear charge still bleed like waterfall everytime move
123,0,picture feel naked
124,0,train go manchester sunday go concert ?!!
125,0,must people picky mean hour work dice !? ://
126,0,twitter soon become obsolete ://
127,1,wide awake
128,1,yeah awful weather last week stink kristin come moe say maybe take
129,0,hi strange hello frank lampard fine ourself strange gay ://
130,0,always one
131,0,shit suck
132,0,panel guess back normal life
133,1,start
134,0,brighten bad day never win anything
135,0,boyle dint win mh well diversity good though congrats !!
136,0,
137,1,believe enough ;-
138,1,good time
139,0,graduate
140,0,vandal paint swastika home author gay lesbian church story naples daily news ;( ://
141,0,unknown error occur uh oh phone fail far (- )&
142,0,expert home predict eagle go giant go ://
143,1,know hungry let go outside balcony eat
144,0,want bad drive mad
145,1,men uk female internet entrepreneur know start grow business next woman ;( ://
146,1,truth hide eye passmore decode :// /~
147,0,try turn tv get head get feel inside win admit literally feel ;(
148,0,well truth miss coldly ;-
149,0,tear today last day kid go summer break dad tomorrow sigh ):'-( ://
150,0,unsure annoy )( ://
151,0,via design gallery exhibition postcard mailer go extinct via ://
152,0,beautifulylost
153,0,cry go miss harry potter come leave vietnam july th go cry -* !!
154,1,hum say shut amp put money mouth head reality cheer twitter world --*
155,1,sigh cant love someone love back like stalker status get divorce amp amp move trinity --* ;&
156,0,go back bed look around see reason awake atm little
157,1,right goodnight tri nenna malcolm chaise fly love much --
158,1,trip ill even chaise die laughter --
159,0,want soo bad !!
160,0,watch tv bed shop mom trent hopefully need best friend
161,0,weird encounter many homeless creep walk home tonight awesome really
162,0,rain truck race
163,0,feel bad
164,0,feel pain happiness time confuse
165,1,hot chico best
166,0,shirt panty cellulite
167,0,turn back north due body line miss design council design tech transfer event ://
168,0,everything hard ?:/
169,0,buenos good bye good night
170,1,beach day scoop still phone =(:
171,0,let fun give ya give ya
172,0,want move :[
173,1,amaze night day amp night hi twit miss guy :- !!
174,1,canaveral national seashore
175,1,progress production department uprise thats priority get head nod beat reach
176,1,taylorrhicks enjoy chicago new venue always cool shine everywhere go know time everyone
177,0,train crash dc
178,1,thestreetforce '@
179,1,make smile
180,1,first day week get watch nancy grace ://
181,1,woody woodpecker seville great wish ch :& ;#  « :// /~
182,1,happy stay around drexel fabulous university proud yeah
183,0,happen angel demon lion tiger bear !?
184,0,well sure minimize impact lol
185,1,call die bolton arm leg wait manner ://
186,1,saw ur mum
187,1,get fat ass nai
188,1,see three external monitor one laptop win rc ://
189,1,casebook com topic marker cool cool maybe send cool ://
190,1,want start morning late new york californian even good
191,1,lol luv find :// !& ;& :// ?# ://
192,1,make fettucini garlic bread
193,1,tell say happy day !!
194,0,
195,1,tell would sweep aha :-
196,0,many gr science cartoon :// :// :// ://
197,0,edinburgh fringe week away need monies btw elliott blame twitter intrusion ?!
198,0,dint come school short stack thing still need ??
199,0,one latter store :// :// ://
200,0,think le chance hero stay orlando gonna go blame though $$
201,0,mud make beautiful plc cry
202,0,fat kid
203,1,
204,1,yes lol luv like gentle breeze blow :& !:& « :// /~
205,0,se correa mi joseph se vale
206,1,future rookie nec holler
207,1,hope cheese burger limbo
208,1,awesome
209,1,nothing kind everything sort ://
210,1,pick flower teacher jealous want flower without hospital get -&
211,1,think talk sea na ira ma aten security chain strong weak link :& ¦
212,0,couture account suspend lol single lady dance need watch
213,0,
214,1,
215,1,thank hop pretty nervous though
216,0,get aim talk miss
217,1,follower ?? ://
218,1,tell ya grocery store good blast oldie sugar ray make ://
219,0,washout convoy make want keep kosher rookie catholic amp pork loin fridge
220,0,home neither good
221,1,bitch good wake early go la opera kay !?
222,0,immune dentist drill etc bother gum lift surgery next week tho week --
223,0,tone still awake
224,0,hat bebop app
225,1,congrats thai like oldie use say thai much kam ka ://
226,1,chill twitter via spank new blackberry unlimited internet ://
227,1,give inch love night
228,1,maybe pop tweet quite active twitter
229,1,shame woman mamma mia horny since men island ://
230,1,thank let know go check eureka late knowledge
231,0,refer
232,1,hey ok tell oh sorry lol
233,1,happy day
234,1,know sharepoint write intern know !!
235,0,miss much already
236,0,practise feel
237,0,miss love jamie
238,0,fuck
239,0,head feel like bowl ball
240,0,heart hurt badly
241,0,keep crash try load budgie plane
242,0,current headset deathbed dad give week back
243,0,mood currently blah sit park lot
244,1,happy
245,0,
246,0,everyone go home everyone even cm !~
247,0,feed
248,0,fuck fuck fuck
249,0,feel today make matter bad super nasty rainy outside yuck
250,0,aww want aiden davis win sum dint
251,0,bed time
252,1,fatal dia para world draw day
253,0,friend like thank fake !^^
254,1,aha omg stay steely amp mow lawn love still amp amp go tan soon ;&
255,0,think bf cheat
256,1,wanna play camera settle play iv heart monitor
257,0,want onto drive
258,0,want display pretty bolton upside get two pretty voltrons
259,0,want find way put photo phone bluetooth phone computer work
260,0,effort bring best content add lease hour release digital rapture soon hang tight
261,0,
262,0,right hurt
263,0,kinda really kinda
264,0,let moment silence childhood home sadly replace never go back
265,1,lol hilarious
266,1,man oh man punch head ok
267,1,friend get ur friend friend shit could weekend alight coop crew
268,0,man worth tear one win make cry
269,0,rain rain go away
270,0,storm scary
271,1,beautiful satisfy day bargain shop love
272,0,tell girl clock lol
273,1,thank god today friday love ti ti !&
274,0,batt internet connection die guess back mobile
275,1,thrill work morning
276,1,break dance heart short stack kington love song
277,0,ww apple com phone th
278,0,apple phone card maybe tomorrow guess help tweet huh forget
279,0,unsure hassle music )( )(:( ://
280,0,exhaust
281,0,want ben amp jerry cake batter please ugh
282,1,life lazy !*
283,0,wish ella somebody
284,1,ish good mood talk
285,0,think go go long drive get pacific ocean open car door throw pc ocean
286,0,hell bbc
287,0,
288,0,dont like weekend uhuru ((
289,0,get right away
290,1,make nice twice ;]
291,1,love life atm brilliant xd
292,1,else happy mood ??=
293,1,bye everyone
294,0,lonely night
295,0,blue work
296,0,gee feel pain
297,0,miss summertime daley
298,0,computer ill lol fuck goin portugal
299,1,far good
300,1,today great day
301,0,ugh
302,0,
303,1,lot lot lot lot lot lot lot lot lot lot lot lot
304,0,aww want aiden davis win sum dint
305,0,curtain drop crown uptown ye ://
306,0,eh must leave new mexico soon
307,0,fail math know slow
308,0,long oh report sound like leadership still consider library cut consider tax increase
309,0,fuck sake thing never work
310,0,go town today netball match cancel ]
311,0,hop see baby girl
312,0,even know
313,0,lose member family
314,0,sick bedtime battle
315,0,cold morning chill
316,0,
317,0,tonight go book bad stych result show
318,0,shop
319,0,poor lil mousey enjoy sunny day think feel bad big gnarly rat though del standard yep
320,0,epic sad face --
321,0,magazine story break heart dentist office today ://
322,1,tiger wood via ://
323,0,wanna go meet wifey six :'(
324,0,wonder feel like feel good though good happy inspire tweet ya lata
325,1,yippee yay let gather hay love find way boy gonna stay add master holy way way
326,0,one realize deep go
327,0,body air france crash find via ://
328,0,story life whole bunch brownie
329,0,noo friend twitter make sad someone follow
330,0,want hear guess ask much
331,1,hard work chica know mii bos lady look seriously lol )(
332,0,really like condition suck
333,0,orlando lose series oh well maybe phoenix boston cleveland team like make next year
334,0,rhinitis suck
335,1,thank best dawg
336,0,mad sad right play terrible today soccer basketball ;(& ;(
337,0,mustache man desperate ;-
338,0,face miss zero tonight ;-
339,0,know huh bout cry thank marco much !*
340,0,angry
341,1,praise god beautiful day
342,0,sry matt hear
343,0,fuck
344,0,bye world
345,0,couldnt even one fairytale night
346,0,work pottercast lupin willow come near fail
347,0,cell phone screen dead soo text know call fuck
348,0,sickness strike say strike ohh well day school guess
349,0,nobody like year one review read disappoint maybe like since expect much
350,0,must say ?)
351,0,old dead go
352,0,go minute please please please
353,1,love guess ring mmyeahh !!
354,1,chance boo
355,1,thank much suggestion nice look good
356,0,aww really hate
357,0,bad day
358,0,bad day damn kind ticket sale
359,0,boston globe could shut day ://
360,0,bye guy ma miss ya soo soo much worry back monday awesome weekend peace
361,0,follower sad lose hope pressure :'(
362,0,could bless da mic bra music day
363,0,cry cry cry
364,0,kn day **
365,0,goodnight
366,0,grandma sick well go emergency room
367,1,wonderful day god great
368,0,go shed tear car go home tonight like seriously
369,0,soo sad point night cuddle jonathan like year
370,0,hate forever
371,1,pas exam today
372,0,miss
373,0,still feel like douchebag
374,1,want write song think
375,1,always think time estimate use value pi rule exception pi square rule '(
376,1,creativity via twitter ://
377,1,tease wanna hear track !!
378,0,never answer
379,1,travesty student safety roughplaces ://
380,0,day haven pick yet kind want incessantly bother
381,1,ml
382,1,gotta love blip fm john mayer trio california dream hear conan :& « :// /~
383,1,case need help ://
384,1,sure love lol
385,1,karl lagerfeld twitter profile lol heart first pic ;' ://
386,0,long cab say heartbroken understatement good luck everything amaze ian
387,0,break twitter
388,0,club must come sheffield sometime amp party really probably atm tech conference con etc
389,1,avtar figure people either ://
390,0,fulfil life ambition go jonas concert go hmv new album already sell
391,1,happen movie anyway like hollywood forget rough time public want see ://
392,0,yell pick apple store food
393,1,whoop credit due rb :& ;& ;& :& ;? :// /~
394,1,exit cessna =& ://
395,0,cat kitten die day old rip ming
396,0,week palm pre come centro die temp phone contact transfer yet
397,1,chicken nugget double cheeseburger large fry lemonade dinner may ask hate body
398,0,hr da phone lol dude hilarious
399,1,th tweet breakfast everything babel toast cream cheese ice cap relish (!)
400,0,gb video unload tube dam sony vega make big
401,0,new footwear label norm definition never refer document write
402,0,big angry spider crawl blanket flick floor cant sleep
403,1,bless sunday everyone
404,0,
405,1,dog rid bicycle ://
406,0,fly land green chile stew never big kill bug asshole ask go appetite
407,1,problem share buck pas
408,0,get handshake meet vibe suck
409,1,¹à¹ hitch ¸ ¸ ¸
410,0,jonah whats tweet sharon !?)
411,0,alice beat scooby doo board game
412,1,quite tire wait till brushwood
413,0,anyone advice cope break
414,0,arrgghh line communication temporarily suspend
415,1,
416,1,nasty studio woman go sleep
417,0,understand
418,0,car inspect today gonna cost dollar
419,0,
420,0,everything wrong
421,0,exercise build muscle mass thing speed metabolism ://
422,1,feel ok first time day thank
423,1,find new way text yes
424,0,friend die horrible
425,1,go paddle moz
426,1,good nite hope grandma visit dream tonight last night uplift miss
427,1,goodbassplayer funny oligo hope people bring good thing start early week ;)
428,0,best
429,0,hungover crave chocolate omg funny pub last night lol !!
430,0,dont want leave whole summer
431,0,hope everyone church go concert peace wed dont worry rush back church visit
432,0,spill last jordan cereal floor distraught  ://
433,0,miss family friend
434,0,see miss nectar suck dirty talk ;)
435,0,want freak puppy cute little black yorkshire terrier
436,0,want orissa back ://
437,0,glad diversity get stavros
438,1,tell ya yummy decide go hunt blender drink know good one
439,0,nucella
440,0,rely serious go thru notebook
441,1,listen new fav band amor
442,0,environmental study drive mental
443,0,always see bit amp piece shotts see whole movie end soo sad gonna cry
444,1,another day paradise ;)
445,0,find bone chicken nugget cool
446,0,like say back still fuck hurt go complain like one business   ://
447,1,love !&
448,0,aunty dog get put dog aswell
449,0,head feel like go explode mm horrendous image mess
450,0,head kill mee
451,0,name amy mm three eye swell cannon see must stupid must bad ://
452,0,picture kris armada go forever comment mysapce ://
453,0,confirm miss air france flight crash atlantic »: ://
454,0,space comment go cause someone hack onto account keep abuse others delete
455,0,school soon wait celebrate stress till
456,1,pop movie amp chill bite get inn call text
457,1,
458,0,miss air france plane follow best air news source ://
459,0,ai read til sunday suck
460,0,crap night look forward cheer never mind
461,0,ah postman didn package goon rest day
462,1,ahh school monday ready
463,1,ahh dizzy mr rogers indeed best
464,0,airport express rock enough allow wireless scan canon pizza mx otherwise wireless goodness
465,0,alistair friend kitchen want cup tea dammit
466,0,day play
467,0,dress bicycle monday nite ride henderson ky ://
468,0,want ma arm want arm
469,0,friend go haley katie camp paris moss land anna moss bore
470,0,light yeesshh nightmare come week cannon wait graduate
471,1,small thing
472,0,non rosten post make sad mean know see others word sad
473,0,allison dint win
474,0,almost time leave
475,0,already get sleepy really want get psych quiz tonight
476,1,always nice thing wake yay gosh typical lame overanalyzing teenager mao nice nap
477,1,excite
478,1,feel happy !?
479,1,feed pig '?
480,0,lose mind cause wanna see tc tv right min fu want see candygirls daisy dammit !! !!
481,0,sad say didn get result today somehow school forget mail result typical ugh ??
482,1,alarm clock device wake people small --
483,0,mend break heart « :// /~
484,0,think felt really sick depress school today cut stress glad get chest :/
485,0,start get confident tear
486,1,antron reedcourty operaunite com observer content home sch alternate va
487,0,another min
488,0,another early day
489,0,another day weekend get spend dad
490,1,another friday night rock band
491,0,anticipate tough day ahead
492,0,anyone know ghostbusters region free get copy britain ??
493,1,million make difference help believe come believe amp leave believe god
494,0,ove -?
495,0,wrong wit
496,0,allergic nose itchy eye burn hope get good soon
497,0,keep come box
498,0,another expensive weekend trip vet
499,0,party tonight hella bore home seem like everyone busy hammer !? !!
500,0,chilli prawn make pain good
501,0,beloved diabetic dwarf hamster die hand morning creature worthy love ¥
502,0,dd pinky fun
503,0,farrah fawcett die cancer abc news via -- ://
504,0,feel hopeless useless
505,0,forget lunch home
506,0,general motor sell summer
507,1,good morning great day
508,0,goodnight
509,0,good night must prepare tomorrow meet !!
510,0,great bore moment idea miss bodie damn  ://
511,1,lully day ://
512,1,hot
513,1,hmm
514,0,five guy location close visit em inside edition em rat patrol :// ;/ ;'
515,0,actually cry sore throat
516,0,feel irresponsible sort horrible marshmallow unless otherwise state gelatin fuck ://
517,0,miss worry
518,0,need think something else first
519,0,want julian win
520,1,iowa happy yea
521,0,jus get bad news
522,1,get home
523,0,mean
524,1,saw sink whole video kerrang ive see load much good tv
525,0,limp birkin rollin '#
526,0,love save empty '' ''
527,0,camera break
528,1,mom funny person ever
529,0,leave
530,0,naval french open back go andy roddick --
531,0,beat check playhouse baltimore weekend well feel quite rest bite sort
532,0,nothing
533,0,ok talk boyfriend stuff tomorrow mao talk real soon woo ilysfm doodle xx ;) !!
534,1,pie seem quite good appetite
535,0,server problem motivate change host provider though
536,0,shake head
537,0,shock loss spark bummer great game shock many injury start season rematch monday
538,0,asshole get hold email sign spam mail ugh non stop anyone spam blocker
539,0,someone say ast least pretty thank pretty get nowhere much integrity
540,0,space people get really angry answer right away ja
541,0,never get photo comment space
542,1,nhl penguin red wing final red wing lead series stats star visit ://
543,0,ticket germany mile cyrus tour
544,0,photo shoot rain oh well back post
545,1,young take miss cumin year since die dont ashamed faith !!&
546,0,rip charles world one le fine fellow
547,0,usl paley talk even depress could get ticket oh well ?!
548,1,amaze bjorn bachelorette -- :// /~
549,0,bore
550,0,much good weekend
551,1,thank
552,0,hotel know either favorite people
553,0,thelovelybones plan judge ¦  ://
554,0,year million hunger relate cause ://
555,0,ticketsandpassports mao nerd think cool guy like anima ://
556,0,whose day may happy god love tlc waterfall :// /~
557,0,today good day guess lay around house undies bad
558,0,go maggie day party come home without phone feel lose really confuse thats booze talk
559,0,rb get australian release date
560,0,grandma tell think stupid well hey thank
561,1,
562,1,
563,0,necklace rather usual want ://
564,1,
565,0,
566,1,
567,0,signal detect garden
568,0,
569,1, --& ='(--&
570,1,pic want tell cause get ://
571,1,expression watch ;- ://
572,0,beach ball fail ;- :// /?
573,1,freelance writer braille porn stunt double hand model palmolive dishwashing liquid ;[
574,1,love care know elf !& ;-
575,0,rain supertramp ;(
576,1,must people insist talk stupid politics comment bubblegum pop song sorry get ://
577,0,alone
578,0,apparently new build gm mean likely minute issue gm
579,0,archie annoy morning say hog bed night win get shower little black kettle self
580,0,ok
581,0,arch speaker macbook screw slowly die
582,1,
583,0,chris brown honestly dont feel bad hanna anyways nd
584,0,last night
585,1,sweet lady say goodie sweet late lady say good morning crazy would never imagine yr ago
586,1,nursery wail end sleep soundly work morning shift trw gdr
587,1,random mention core deal almost twice much sense tie tv night
588,0,work fuck
589,0,work get load leave today noodle ruffle xx
590,0,attempt get people twitter cate talk fail
591,0,aw toy story come next year
592,1,awake finally random dream penguin live jersey oddly live icecream store lola
593,0,awesome ://
594,1,awesome black coffee anyone
595,1,aww great song picture burn
596,0,aww get homework
597,0,aww someone borrow without tell
598,0,aww derek work back make sandie little one
599,0,genetics towards gpa really suck get class
600,0,baby die last night day @$%%$#
601,0,baby girl upset need sew almost pm finally eat little dinner sigh
602,1,baby sit today shop tomorrow rue best ever
603,1,baby like favorite dessert get enough love eva
604,0,
605,0,
606,1,back basic
607,0,bad day day break glass rainy weather
608,0,bad night pen
609,0,bad time new mommy call newborn picture fit baby schedule matter hard try
610,1,bahahaha jodie burst kevin dance epic xd
611,0,bank account negative
612,1,ba one last time update status
613,1,baseball
614,0,bcd close guess nogai
615,0,bed gotta get early day bullshit summer !&
616,0,bed time
617,0,bed gary oh well goodnight people
618,1,day straight lol never sleep
619,0,afraid food eat disorder right
620,0,tell beautiful make tummy good
621,0,besides great graduation day final make high-school graduate moss word chapter close keep push forward
622,0,still phone lukas pa raw afternoon oh well survive day one day another day another destiny
623,1,nice day
624,1,summertime dj jazzy jeff fresh prince
625,0,phone commission
626,1,weather lush
627,0,thing good head may around lot weekend
628,1,third date go well move fourth
629,1,death awesome random comic certifiable sane ()
630,0,try enjoy ur family amp need anything anything love si brave amp know strong ur prayer
631,1,twilight
632,0,twitter wont let send reply today boo hoo
633,1,two day
634,0,ugh
635,0,uva baseball come boy
636,0,water work gonna start
637,0,well write missive post last night thing happen get delete tho ://
638,0,well guess know go break sometime
639,1,canadian proud -' ://
640,0,rain
641,0,
642,1,xd go day
643,1,yay star test week start school week school thursday maybe sf ://
644,1,live bed -# ://
645,1,
646,0,giveaway giveaway iphonegiveway squarespace squarespce tackle
647,1,free ;*~ !~*&
648,1,smile ;-
649,0,asleep gather thing dark burn finger leave spark -& ;-
650,0,bbc news uk map climate change forecast picture paint alarm one ;- ://
651,0,give care mess life ;:'(
652,0,meteorologist predict chilly rainy midsummer news finland le fi thunder ;+ ://
653,1,nintendo di portable game system ?& ;( ://
654,1,promote site get front page place social medium ;( ://
655,1,universe live conscious old care lot way drunvalo melchizedek
656,1,world make music people listen -&
657,1,diggs new share feature pollute twitter  ?& ;( ://
658,0,angry mix motion soo frustrate ://
659,0,mood
660,1,exit buy ore hope everyone like ore !!
661,0,hug
662,0,send hug
663,0,tear
664,0,cry depress thank angel gonna find someone someday might actually treat well !& ;!!
665,0,way doctor duo even breakfast yet lol -*
666,0,sob must bed !!
667,0,wish summer jam
668,1,babby miss much -- !!
669,0,sunday
670,1,well gon stop idc shit faithful like point em moi --
671,0,jonas bad come paraguay !!
672,1,jonas day
673,0,ugh anybody wanna come house cook mom leave work paint cook shit trust dem hoe
674,0,know
675,0,think lose spanish book !!:-
676,0,life complicate know god plan trust
677,0,oh well least suzumiya harsh yuutsu air
678,0,really good night guy hut
679,0,get cast keep look dance opportunity need exercise
680,0,grind around wet look see drop fall face drizzle around miss drop
681,0,forget bring new sharpe pen school today boo
682,0,omg cell happen year wwf get get bill pay
683,1,last gadget ://
684,0,horrible :'(
685,0,ius one person make smile :'(
686,0,tweetdeck kill hate
687,1,july flower july ;) )#
688,0,last fm work
689,1,finally get twitter aha
690,1,think may connection paul rubens reason movie theater fl ://
691,0,saw early even comprehend couple feel really tragic --
692,1,
693,1,say sweet le day hi --
694,1,would love see guy sometime grin aw rat maybe warm real fast lol !* *-
695,0,hope actually birthday get shot
696,0,signature rub mondayeyes bracelet least plenty autograph still sad day
697,1, ;? :// /~
698,1,happen go anybody get arrest ://
699,1,know find replacement still pay win let hang
700,1,see guy dress banana totally make day phallic symbol ://
701,1,
702,1,boo blush --=
703,1,buyer ill jamarcuss --
704,0,want buy sims sell wwf aha
705,1,paint gotta apologize know ugly --
706,0,
707,0,yep thing way time selfish everything revolve around yep bitch great )=|
708,0,wanna get rid twitter guy cool
709,0,try try hard seem get credit prob
710,0,wide awake dont actually wanna go school xx
711,0,dream beautiful
712,0,one roommate
713,0,give minute turn frown upside
714,0,cant even say word right
715,0,sad begin begin exam think begin ?? ??
716,0,frustrate
717,0,feel shallow breath squeeze past fifty pound stone lay chest
718,0,find friend childhood pas away may rest peace
719,0,still office
720,1,
721,0,sniffle since dont get leave fuck house aw great power go get dark perfect
722,0,feel leave
723,0,sigh dint win contest stupid popularity contest many vote also really sad good feel :: ::
724,0,noo thing complicate spell wrong idc ;(
725,0,noo thing complicate spell thy wrong idc ;(
726,1,butterfly day jun ;) )#
727,1,mean
728,0,jfk international airport ://
729,0,jonas couture suspend
730,0,moral court traffic ticket sleep aah
731,1,work hour today weekend wait long weekend begin gonna get thing sure -@ ||
732,1,pray cold go head skunk spray yard ://
733,1,create realm light pure love command fold think speak love new world behold
734,1,music quiet sure massive hoax play alone ://
735,0,sell freeze banana today ://
736,0,car come either
737,0,disappear
738,0,
739,0,lol cat huge fan also think think hold sims
740,1,speak historian wwf incorporate twitter buzz upper middle class north ://
741,0,farrah fawcett star charlie angel die cancer
742,1,
743,1,dear hyper chihuahua minute leave together drive ://
744,1,washington capital would one well
745,1,look feed twitpic selma soon cool name add end tok ra
746,1,yea really wanna see win daytona
747,1,great follow
748,1,aww sorry bae kno grind get swear need go buy artwork construction paper
749,0,hey long he/she yeah ;)
750,1,nobody tell violent femmes cover snarl barkley tv dude :& ;:& !& !!& ;? :// /~
751,0,unfortunately come nj bookie gotta drive path
752,0,
753,1,start work warm fluffy fart tweet realize especially like far  ?  ://
754,1,news goole get twitterpated ?- ://
755,0,mad
756,1,lol noo
757,0,play ur joint two song ago everyone studio feel
758,0,get excite conan
759,1,post amp warm wish enjoy ur day
760,1,welcome
761,1,thru miracle modern science bruce danny
762,0,stop talk stalk ^^
763,0,please know nice night sleep even comfy bed even sleep bag would -- ;)
764,1,try sex bing deactivate safe search go video porn site without lea ://
765,0,tool court th
766,0,meet tonight please tell story laker fan make miss show
767,1,thank
768,0,
769,0,saw
770,0,sleep late wonder mhm hype think leave country week amp day
771,0,one
772,0,ahh bloody five give away house sky subscription )?
773,0,upset lol
774,1,well praise lord god mood kno need work ma thigh amp dark cloud scar
775,0,send sweet wrong account although select right one
776,1,aw sweet leslie sweeting luv last night absolute fave
777,1,big pool aid smile face talkin boo
778,0,blow feel like qing
779,1,blow-dry hair
780,0,boo
781,1,bore nothing okay pretty shy girl
782,1,bore go powerpoint
783,0,bore nite damn guess good get use
784,0,boro let get tight
785,1,bosch graduation sara voice recital
786,1,breakfast family
787,1,britain get talent right good luck susan boyle ;)
788,0,sum miss bb kris coast chat stupid responsibility
789,0,burn tongue hot chocolate downside
790,0,eat popcorn get good
791,0,want boyfriend summer
792,0,love aaron
793,0,brown nose tell super super beautiful say day sorry someone die
794,1,
795,0,first see mtv movie award thursday sad look forward thursday julia !! !!& !! !!
796,0,join karenwild ?{* *}
797,0,canon overshoot serve well sorry leave car hot day mourn loss
798,0,cant afford see angel demon watch free ://
799,0,get motivate might sunday cry club !!
